cockpitoffset:	27,358
cockpitrotate:	400,0
cockpitparts:	6
cockpit0:	0,0,255,255
cockpit1:	256,0,255,255
cockpit2:	512,0,255,255
cockpit3:	0,256,255,63
cockpit4:	256,256,255,63
cockpit5:	512,256,255,63

camposzMod:	0.6

needles:		3
needleswidth:		63
needlesheight:		63
needle0img:	21,32,5,24
needle0pivot:	22,53
needle1img:	28,19,7,37
needle1pivot:	31,52
needle2img:	37,3,7,53
needle2pivot:	40,52

kph:	2,374,117
kphmin:	0,3.58
kphmax:	250,7.15

rpm:	1,514,127
rpmmin:	0,0.42
rpmmax:	6000,5.86

temp:	1,234,159
tempmin:	20,5.51
tempmax:	120,7.03

oil:	0,578,184
oilmin:	100,0.82
oilmax:	0,6.11

fuel:	0,168,184
fuelmin:	100,0.82
fuelmax:	0,5.50

wheelparts:	1

wheel0:	0,0,256,256
wheeloffset:	400,575
wheelcentre:	128,128
dialorigin:	74,69,147,142
dialscreenpos:	647,398
mirrortype:	1,49,405,107,107
mirrorpos:	52,198,408,553
